<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
GTN,20200429,9.1384,9.3231,8.9231,9.1385,1451950
GTN,20200504,9.1693,9.4154,9.0770,9.2615,1574100
GTN,20200505,9.3538,9.9077,9.3230,9.9077,3592280
GTN,20200506,10.2154,10.4615,10.0308,10.2154,2679670
GTN,20200507,10.0923,10.1539,9.8769,10.1231,1677840
GTN,20200508,10.0923,10.4616,10.0923,10.3077,3540820
GTN,20200511,10.7692,10.7692,10.3077,10.7692,2002870
GTN,20200512,10.4615,10.7692,10.4000,10.7692,2168120
GTN,20200513,10.4923,10.9230,10.4307,10.5846,1999680
GTN,20200514,10.4615,10.6769,10.4615,10.5231,1694320
GTN,20200515,10.5231,10.6462,10.4308,10.5846,2045970
GTN,20200518,10.5538,10.8923,10.4615,10.7692,1181630
GTN,20200519,10.9538,10.9538,10.5846,10.6154,1707750
GTN,20200520,10.6154,10.6462,10.4616,10.6462,1362830
GTN,20200521,10.6462,10.7077,10.4616,10.4923,1014140
GTN,20200522,10.5231,10.5846,10.4000,10.4000,895030
GTN,20200525,10.4308,10.5538,10.1846,10.5538,1606050
GTN,20200526,10.6769,10.9846,10.6461,10.9846,2174270
GTN,20200527,11.0154,11.0769,10.4923,10.4923,1627330
GTN,20200528,10.5846,10.6154,10.4308,10.5231,868980
GTN,20200529,10.4616,10.5231,10.3385,10.5231,1230130
GTN,20200601,10.5231,10.7077,10.4923,10.6769,1034990
GTN,20200602,10.7077,10.7692,10.5538,10.5538,1346890
GTN,20200603,10.5846,10.6769,10.4923,10.5846,618170
GTN,20200604,10.6461,10.7077,10.5846,10.6154,999750
GTN,20200605,10.6154,11.3539,10.4616,11.3538,4179150
GTN,20200608,11.6307,12.0000,11.5076,11.6308,3129380
GTN,20200609,11.6308,11.7231,11.3846,11.5077,1358210
GTN,20200610,11.3846,11.5692,11.0769,11.5077,2073280
GTN,20200611,11.4462,11.4769,10.7385,10.7385,3030760
GTN,20200612,10.2154,10.6770,10.2154,10.6769,1786510
GTN,20200615,10.6769,10.7692,10.3077,10.3077,1351390
GTN,20200616,10.4615,10.6769,10.3692,10.5846,830180
GTN,20200617,10.5846,10.6461,10.4308,10.5231,678890
GTN,20200618,10.4616,10.5846,10.3693,10.4923,559520
GTN,20200619,10.5846,10.9231,10.5538,10.8923,1052290
GTN,20200622,10.8923,11.0769,10.7692,10.9538,717610
GTN,20200623,10.9230,10.9846,10.7384,10.8923,744400
GTN,20200624,10.8615,11.5077,10.8615,11.0154,1785570
GTN,20200625,10.8923,11.3231,10.7692,11.2615,1119160
GTN,20200626,11.3846,11.5384,11.2000,11.2923,1299060
GTN,20200629,11.2000,11.2000,10.8308,10.9231,1479790
GTN,20200630,11.0769,11.1385,10.7077,10.8923,1066710
GTN,20200701,10.8923,11.3231,10.8923,11.2923,1085290
GTN,20200702,11.5077,11.9077,11.5077,11.6308,3072320
GTN,20200703,11.6923,11.7539,11.4769,11.4769,761140
GTN,20200706,11.5384,11.6923,11.4769,11.5077,589220
GTN,20200707,11.5385,11.6000,11.4462,11.4769,1580180
GTN,20200708,11.7538,12.2769,11.6923,12.2769,5393200
GTN,20200709,12.3077,13.0769,12.2769,12.3692,2480620
GTN,20200710,12.2461,12.9230,12.2461,12.7385,1855500
GTN,20200713,12.6154,12.8616,12.4308,12.6154,1758060
GTN,20200714,12.5539,13.4154,12.4616,13.3846,2629590
GTN,20200715,13.4769,13.4769,13.1384,13.2615,1456910
GTN,20200716,13.3230,13.9384,13.1077,13.7538,2240930
GTN,20200717,13.7230,14.1230,13.5384,14.0615,1657570
GTN,20200720,14.7077,15.0153,14.0923,14.7077,3054130
GTN,20200721,14.7385,15.0154,14.4308,14.7692,1426450
GTN,20200722,14.7692,15.4461,14.7692,15.3846,2464100
GTN,20200723,15.3846,15.7231,14.9846,15.3231,2229160
GTN,20200724,15.1693,15.2923,14.2769,14.2769,4486480
GTN,20200727,13.2923,13.7846,13.2923,13.2923,3644170
GTN,20200728,13.2923,14.1538,12.9846,14.0923,3748550
GTN,20200729,13.4769,13.6923,13.1077,13.5385,4413410
GTN,20200730,13.5385,14.0000,13.4154,13.5385,1630550
GTN,20200731,13.0154,13.4462,12.9847,13.1692,1839660
GTN,20200803,13.0154,14.0615,13.0154,14.0615,3214500
GTN,20200804,14.2153,14.7384,14.2153,14.3385,2439240
GTN,20200805,14.3385,14.6462,14.1539,14.3385,1663390
GTN,20200806,14.1847,14.3385,14.0000,14.1231,2055270
GTN,20200807,14.0308,14.4923,14.0308,14.2769,1776000
GTN,20200810,14.4615,14.5538,14.3077,14.3077,1837310
GTN,20200811,14.8308,15.2615,14.6769,14.9538,4629630
GTN,20200812,14.9538,14.9538,14.3384,14.6462,4025160
GTN,20200813,14.5847,14.7693,14.5847,14.7077,1267710
GTN,20200814,14.6462,14.6769,14.0923,14.4615,2936790
GTN,20200817,14.2461,14.4000,14.0307,14.2462,2430570
GTN,20200818,14.1539,14.4000,14.0616,14.1538,1444100
GTN,20200819,14.1230,14.4000,14.0307,14.3385,1532590
GTN,20200820,14.1539,14.3693,14.1231,14.1538,1686810
GTN,20200821,14.1230,14.4000,14.0615,14.4000,1469480
GTN,20200824,14.4615,14.9846,14.3385,14.8923,3896020
GTN,20200825,14.8308,15.0154,14.6769,14.7077,2486760
GTN,20200826,14.7077,15.5692,14.6154,15.3846,5393600
GTN,20200827,15.3231,15.6923,15.1692,15.6308,2570670
GTN,20200828,15.6308,15.9693,15.6308,15.7231,2879150
GTN,20200831,15.6923,15.6923,15.0769,15.1385,4751220
GTN,20200901,15.0154,15.4462,14.9539,15.4462,2145600
GTN,20200903,15.6308,15.6308,15.2308,15.2923,1684130
GTN,20200904,15.1077,15.5077,15.0154,15.5077,2216760
GTN,20200907,15.6308,15.8769,15.3846,15.4769,4146480
GTN,20200908,15.3846,15.6308,15.3538,15.6308,2036750
GTN,20200909,15.3846,16.3077,15.3539,16.2462,4986560
GTN,20200910,16.3693,16.5231,16.0000,16.1231,2222530
GTN,20200911,16.0000,16.2462,15.9693,16.0923,1467210
GTN,20200914,16.0308,16.3692,16.0000,16.2154,2064040
GTN,20200915,16.2154,16.3077,16.0615,16.0615,1830990
GTN,20200916,16.0307,16.0923,15.9384,16.0000,1933690
GTN,20200917,16.0000,16.4000,15.9077,16.1231,2114130
GTN,20200918,16.0616,16.3077,16.0000,16.3077,1304130
GTN,20200921,16.2462,16.4923,16.1539,16.2154,2139860
GTN,20200922,16.0923,16.2462,16.0616,16.1538,2060220
GTN,20200923,16.1538,16.1846,16.0615,16.1231,1085370
GTN,20200924,16.0923,16.5231,16.0308,16.1538,2439440
GTN,20200925,16.1846,16.2769,16.0307,16.1846,1986190
GTN,20200928,16.1846,16.3692,16.1231,16.3077,1628670
GTN,20200929,16.3077,16.8615,16.3077,16.3692,5153450
GTN,20200930,16.3692,16.4308,16.1846,16.4308,1388090
GTN,20201001,16.4616,16.6154,16.2462,16.3692,1809390
GTN,20201002,16.3692,16.5538,15.9077,16.3077,2671210
GTN,20201005,16.3077,16.4923,16.2769,16.3692,1783530
GTN,20201006,16.4000,16.4923,16.3077,16.3692,1503150
GTN,20201007,16.3692,16.4000,16.1538,16.1538,2155080
GTN,20201008,16.1230,16.2461,15.3538,15.5692,8024920
GTN,20201009,15.3846,15.7538,14.6461,15.6923,5967070
GTN,20201012,15.8769,15.8769,15.0461,15.1385,2163170
GTN,20201013,15.1385,15.1385,14.6462,14.8308,2251000
GTN,20201014,14.8308,15.1077,14.6462,14.8615,2478670
GTN,20201015,14.8615,14.9846,14.7692,14.8308,1139150
GTN,20201016,14.9539,14.9539,14.7385,14.7692,1751610
GTN,20201019,14.8000,14.8307,14.3077,14.4308,3328920
GTN,20201020,14.2770,14.4308,14.0308,14.4308,2047670
GTN,20201021,14.8616,15.0154,14.6462,14.8308,1682480
GTN,20201022,14.7693,14.8308,14.5846,14.5846,1129670
GTN,20201023,14.7077,15.2000,14.7077,15.2000,3185870
GTN,20201026,15.3846,15.4462,14.7692,14.7692,1527140
GTN,20201027,14.7692,14.9538,14.6769,14.6769,1262130
GTN,20201028,14.6154,14.7077,13.8461,14.0000,2149800
GTN,20201029,13.9385,14.4000,13.8154,14.3385,2413020
GTN,20201030,14.4616,14.6154,14.1539,14.3692,817370
GTN,20201102,14.3692,14.4000,14.2461,14.3385,414000
GTN,20201103,14.2770,14.6154,14.2770,14.5231,1014540
GTN,20201104,14.5846,14.8000,14.4308,14.7077,1022190
GTN,20201105,14.6462,14.7692,14.4308,14.4615,891260
GTN,20201106,14.4615,14.6461,14.3692,14.5231,527360
GTN,20201109,14.6462,14.9231,14.5231,14.8923,1811400
GTN,20201110,15.1077,15.1077,14.8000,14.8308,1032780
GTN,20201111,14.7693,14.8308,14.7077,14.7692,699380
GTN,20201112,14.8000,14.8000,14.4615,14.5846,1254100
GTN,20201113,14.5846,15.2000,14.4615,15.2000,3030070
GTN,20201116,15.2615,15.2615,14.8308,14.8923,1397120
GTN,20201117,15.0769,15.1077,14.8308,15.1077,1187590
GTN,20201118,15.1385,15.6308,15.0769,15.5077,3334220
GTN,20201119,15.6308,15.6308,15.2308,15.3846,1745640
GTN,20201120,15.5077,15.5077,15.1692,15.3538,1383390
GTN,20201123,15.4769,15.6615,15.3538,15.5077,2480870
GTN,20201124,15.5692,15.5692,15.1077,15.3231,2540140
GTN,20201125,15.3846,15.3846,15.1385,15.2000,1247540
GTN,20201126,15.2000,15.2000,14.8615,14.9231,2365870
GTN,20201127,14.8308,15.1693,14.8308,14.9846,1159780
GTN,20201130,14.9846,14.9846,14.7077,14.7077,2004630
GTN,20201201,14.7077,14.7692,14.4308,14.7077,1383440
GTN,20201202,14.7077,14.7692,14.5231,14.5231,1412250
GTN,20201203,14.5231,14.9231,14.5231,14.8923,1585490
GTN,20201204,14.9538,14.9538,14.6769,14.7077,946510
GTN,20201207,14.7385,14.8308,14.6769,14.7385,724230
GTN,20201208,14.7077,15.0770,14.7077,15.0154,1552970
GTN,20201209,15.2000,16.0000,15.1692,15.8154,6044410
GTN,20201210,15.8154,15.9385,15.4462,15.4769,3365890
GTN,20201211,15.5077,16.0000,15.2615,15.7846,2684680
GTN,20201214,16.1846,16.4923,15.8769,16.4000,4444990
