<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
DXS,20220228,40.3000,41.4500,39.5000,39.9500,1198900
DXS,20220301,39.7000,40.4000,39.0000,39.7500,991000
DXS,20220302,39.7500,39.7500,38.5000,39.3000,1124000
DXS,20220303,39.4000,40.0000,39.1000,40.0000,1441800
DXS,20220304,40.3000,40.7500,39.3000,39.3000,1539000
DXS,20220307,39.1000,40.0500,37.7000,38.5000,1318100
DXS,20220308,36.9000,38.1500,36.9000,37.1500,1369900
DXS,20220309,37.1500,37.9000,36.0000,37.8000,1258600
DXS,20220310,37.8000,40.0000,37.8000,39.9500,1300300
DXS,20220311,39.1500,40.0000,39.0500,39.9500,1774900
DXS,20220314,39.0000,40.1500,38.5000,39.7000,714400
DXS,20220315,39.3000,39.7000,38.9500,39.1000,1589800
DXS,20220316,39.0000,40.0000,38.6000,39.5000,1280100
DXS,20220317,39.5000,39.8000,38.8000,39.5000,1459100
DXS,20220318,39.6500,39.7000,38.7000,38.9000,1581200
