<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
RAL,20190412,78.8931,78.8931,78.1709,78.1709,170,87.4000,87.4000,86.6000,86.6000,0,0,0
RAL,20190411,78.5320,78.5320,77.4488,78.5320,850,87.0000,87.0000,85.8000,87.0000,0,480,0
RAL,20190410,78.7126,78.7126,77.6294,78.5320,1150,87.2000,87.2000,86.0000,87.0000,0,0,0
RAL,20190409,79.4349,79.4349,77.5393,78.3515,7840,88.0000,88.0000,85.9000,86.8000,0,1610,0
RAL,20190408,78.0656,78.2411,77.5393,77.5393,9760,89.0000,89.2000,88.4000,88.4000,0,400,0
RAL,20190405,77.3639,78.5042,77.3639,78.5042,3620,88.2000,89.5000,88.2000,89.5000,0,0,0
RAL,20190404,79.4690,79.4690,77.6270,78.5042,3040,90.6000,90.6000,88.5000,89.5000,0,0,0
RAL,20190403,78.8551,79.5568,77.9779,78.8550,3580,89.9000,90.7000,88.9000,89.9000,0,280,10
RAL,20190402,78.6796,79.3814,77.1885,78.3288,3120,89.7000,90.5000,88.0000,89.3000,0,100,0
RAL,20190401,77.1885,78.9428,77.1885,78.4165,1780,88.0000,90.0000,88.0000,89.4000,0,0,0
RAL,20190329,77.3639,78.4165,76.7499,77.1885,8450,88.2000,89.4000,87.5000,88.0000,0,0,0
RAL,20190328,79.8199,79.8199,78.0656,78.9428,1710,91.0000,91.0000,89.0000,90.0000,0,0,0
RAL,20190327,77.1885,80.2585,77.1885,79.8199,3100,88.0000,91.5000,88.0000,91.0000,0,0,0
RAL,20190326,77.2761,77.4516,76.7499,77.1885,8530,88.1000,88.3000,87.5000,88.0000,0,50,0
RAL,20190325,77.2761,77.8901,76.4867,77.6270,12080,88.1000,88.8000,87.2000,88.5000,0,0,0
RAL,20190322,78.8551,79.1182,77.6271,77.6270,12740,89.9000,90.2000,88.5000,88.5000,0,60,2000
RAL,20190321,75.8728,81.1357,75.8728,79.1182,17680,86.5000,92.5000,86.5000,90.2000,0,0,60
RAL,20190320,74.5570,75.8727,73.8553,75.8728,5900,85.0000,86.5000,84.2000,86.5000,0,0,0
RAL,20190319,75.5219,76.3113,74.5570,74.5570,4960,86.1000,87.0000,85.0000,85.0000,0,30,0
RAL,20190318,77.1885,77.1885,75.4342,76.9253,5010,88.0000,88.0000,86.0000,87.7000,0,60,0
RAL,20190315,77.6271,77.8025,77.1885,77.1885,1900,88.5000,88.7000,88.0000,88.0000,0,0,60
RAL,20190314,77.9779,77.9779,75.9605,77.1885,570,88.9000,88.9000,86.6000,88.0000,0,0,0
RAL,20190313,78.9428,78.9428,76.3991,77.1885,3930,90.0000,90.0000,87.1000,88.0000,0,820,0
RAL,20190312,78.8550,79.6444,77.1884,78.9428,4450,89.9000,90.8000,88.0000,90.0000,0,0,0
RAL,20190311,79.9076,79.9076,77.1885,78.8550,4000,91.1000,91.1000,88.0000,89.9000,0,0,0
RAL,20190308,75.4342,80.2585,75.4342,77.8902,14860,86.0000,91.5000,86.0000,88.8000,0,0,0
RAL,20190307,74.9956,76.3113,74.1185,75.4342,6880,85.5000,87.0000,84.5000,86.0000,0,0,0
RAL,20190306,74.1185,74.9956,73.6799,74.9956,2110,84.5000,85.5000,84.0000,85.5000,0,0,30
RAL,20190305,73.8553,73.8553,72.8027,73.6799,2150,84.2000,84.2000,83.0000,84.0000,0,100,0
RAL,20190304,72.8027,73.9430,72.5396,73.9430,7770,83.0000,84.3000,82.7000,84.3000,0,0,280
RAL,20190301,72.5396,72.6273,72.5396,72.6273,1610,82.7000,82.8000,82.7000,82.8000,0,0,0
RAL,20190228,72.7150,72.7150,71.9256,72.6273,910,82.9000,82.9000,82.0000,82.8000,0,0,0
RAL,20190227,72.1010,72.7150,71.4870,72.7150,16950,82.2000,82.9000,81.5000,82.9000,0,0,0
RAL,20190226,72.3642,72.9782,71.9256,72.7150,4910,82.5000,83.2000,82.0000,82.9000,0,30,0
RAL,20190225,73.5045,73.5045,72.3642,72.3642,1520,83.8000,83.8000,82.5000,82.5000,0,0,0
RAL,20190222,73.0659,73.4168,72.3642,72.3642,3370,83.3000,83.7000,82.5000,82.5000,0,0,0
RAL,20190221,73.6799,73.6799,72.8028,73.5922,1010,84.0000,84.0000,83.0000,83.9000,0,150,150
RAL,20190220,73.6799,74.9079,73.6799,73.6799,720,84.0000,85.4000,84.0000,84.0000,0,0,0
RAL,20190219,73.6799,74.9956,71.9256,74.9956,8940,84.0000,85.5000,82.0000,85.5000,0,80,0
RAL,20190218,75.0833,75.0833,74.5571,74.9956,1300,85.6000,85.6000,85.0000,85.5000,0,400,30
RAL,20190215,72.2764,76.2236,72.2764,75.4342,15720,82.4000,86.9000,82.4000,86.0000,0,500,1430
RAL,20190214,72.2765,72.2765,71.9256,72.0133,840,82.4000,82.4000,82.0000,82.1000,0,0,200
RAL,20190213,71.6625,72.2765,71.6625,72.2765,2570,81.7000,82.4000,81.7000,82.4000,0,1500,1100
RAL,20190212,71.3993,71.9256,71.3993,71.8379,3250,81.4000,82.0000,81.4000,81.9000,0,0,1810
RAL,20190211,71.0485,71.4871,71.0485,71.4870,740,81.0000,81.5000,81.0000,81.5000,0,0,410
RAL,20190201,71.8379,71.8379,71.2239,71.7502,730,81.9000,81.9000,81.2000,81.8000,0,50,80
RAL,20190131,71.9256,71.9256,70.5222,71.8379,6110,82.0000,82.0000,80.4000,81.9000,0,0,0
RAL,20190130,71.7502,71.9256,71.5748,71.9256,610,81.8000,82.0000,81.6000,82.0000,0,0,0
RAL,20190129,70.1713,71.8379,70.1713,71.8379,2800,80.0000,81.9000,80.0000,81.9000,0,0,30
RAL,20190128,72.1011,72.1011,70.6099,71.8379,4370,82.2000,82.2000,80.5000,81.9000,0,0,0
RAL,20190125,71.9256,71.9256,71.1362,71.5748,660,82.0000,82.0000,81.1000,81.6000,0,0,0
RAL,20190124,71.0485,72.7151,70.6099,71.9256,1040,81.0000,82.9000,80.5000,82.0000,0,0,0
RAL,20190123,72.9782,72.9782,72.8028,72.8028,30,83.2000,83.2000,83.0000,83.0000,0,0,0
RAL,20190122,72.8027,72.8027,71.9256,72.8028,5700,83.0000,83.0000,82.0000,83.0000,0,30,0
RAL,20190121,71.3993,74.0307,71.3993,73.1536,3400,81.4000,84.4000,81.4000,83.4000,0,0,30
RAL,20190118,71.9256,73.0659,71.4870,72.7150,2410,82.0000,83.3000,81.5000,82.9000,0,0,0
RAL,20190117,73.2413,74.1185,71.9256,71.9256,5620,83.5000,84.5000,82.0000,82.0000,0,30,30
RAL,20190116,72.4519,73.2413,72.0133,73.1536,5670,82.6000,83.5000,82.1000,83.4000,0,0,0
RAL,20190115,71.9256,72.6273,71.0484,71.9256,3810,82.0000,82.8000,81.0000,82.0000,0,30,0
RAL,20190114,72.8028,72.8905,71.9256,72.6273,63430,83.0000,83.1000,82.0000,82.8000,0,0,0
RAL,20190111,73.0659,73.0659,72.4519,72.4519,50,83.3000,83.3000,82.6000,82.6000,0,0,0
RAL,20190110,71.9256,72.4519,70.6976,72.4519,730,82.0000,82.6000,80.6000,82.6000,0,0,0
RAL,20190109,72.0133,72.4519,72.0133,72.0133,1670,82.1000,82.6000,82.1000,82.1000,0,0,290
RAL,20190108,72.6273,72.8027,69.2941,72.1010,4360,82.8000,83.0000,79.0000,82.2000,0,30,0
RAL,20190107,71.3993,72.7150,69.3819,71.4870,820,81.4000,82.9000,79.1000,81.5000,0,0,0
RAL,20190104,72.8028,72.8028,69.2065,71.3993,12280,83.0000,83.0000,78.9000,81.4000,0,0,30
RAL,20190103,74.2062,74.2062,71.0485,73.5922,1350,84.6000,84.6000,81.0000,83.9000,0,90,60
RAL,20190102,74.5570,75.8727,71.9256,72.8028,2240,85.0000,86.5000,82.0000,83.0000,0,0,0
RAL,20181228,72.0134,77.8902,71.9257,74.9956,3930,82.1000,88.8000,82.0000,85.5000,0,30,290
RAL,20181227,73.1537,73.1537,72.7151,72.8028,13380,83.4000,83.4000,82.9000,83.0000,0,0,0
RAL,20181226,72.0134,73.6799,71.9256,72.8028,3470,82.1000,84.0000,82.0000,83.0000,0,0,50
RAL,20181225,73.4168,73.5045,73.4168,73.5045,150,83.7000,83.8000,83.7000,83.8000,0,0,60
RAL,20181224,74.4693,74.4693,72.6273,73.6799,1140,84.9000,84.9000,82.8000,84.0000,0,0,60
RAL,20181221,73.5922,75.0834,72.3642,74.5570,2960,83.9000,85.6000,82.5000,85.0000,0,50,50
RAL,20181220,71.9256,74.1185,71.4871,74.0308,3160,82.0000,84.5000,81.5000,84.4000,0,0,0
RAL,20181219,72.4519,74.2939,72.3642,74.1185,3730,82.6000,84.7000,82.5000,84.5000,0,0,0
RAL,20181218,74.9079,74.9079,72.8027,74.0308,5530,85.4000,85.4000,83.0000,84.4000,0,0,0
RAL,20181217,73.6799,75.1710,73.4167,74.4693,6160,84.0000,85.7000,83.7000,84.9000,0,0,0
RAL,20181214,73.6799,74.5570,73.4167,73.8553,1580,84.0000,85.0000,83.7000,84.2000,0,200,0
RAL,20181213,75.2588,75.6973,73.4168,73.7676,910,85.8000,86.3000,83.7000,84.1000,0,0,0
RAL,20181212,74.4693,75.4342,73.3290,75.4342,780,84.9000,86.0000,83.6000,86.0000,0,0,0
RAL,20181211,73.6799,73.6799,73.2413,73.2413,2740,84.0000,84.0000,83.5000,83.5000,0,0,0
RAL,20181210,73.6799,74.2939,73.6799,74.2939,1140,84.0000,84.7000,84.0000,84.7000,0,0,0
RAL,20181207,74.2939,74.4693,73.6799,74.2939,970,84.7000,84.9000,84.0000,84.7000,0,0,0
RAL,20181206,72.9782,74.4693,72.8027,74.2939,1840,83.2000,84.9000,83.0000,84.7000,0,0,0
RAL,20181205,74.5570,74.5570,72.8027,74.4693,11220,85.0000,85.0000,83.0000,84.9000,0,0,0
RAL,20181204,74.4693,74.5570,73.6799,74.4693,2400,84.9000,85.0000,84.0000,84.9000,0,0,0
RAL,20181203,74.9956,74.9956,73.6799,74.5570,3500,85.5000,85.5000,84.0000,85.0000,0,0,580
RAL,20181130,72.8028,75.3465,72.6274,73.3290,2910,83.0000,85.9000,82.8000,83.6000,0,420,0
RAL,20181129,76.3113,76.3113,73.4167,73.4168,11370,87.0000,87.0000,83.7000,83.7000,0,230,2000
RAL,20181128,76.2237,76.3114,72.8028,76.3113,2970,86.9000,87.0000,83.0000,87.0000,0,100,0
RAL,20181127,75.8728,77.1008,75.5219,77.1008,3390,86.5000,87.9000,86.1000,87.9000,0,0,0
RAL,20181126,77.8025,77.8025,77.8025,77.8025,100,88.7000,88.7000,88.7000,88.7000,0,0,0
RAL,20181123,75.4341,77.8024,75.4341,77.8025,430,86.0000,88.7000,86.0000,88.7000,0,0,0
RAL,20181122,77.1008,77.1008,75.8728,77.0130,1320,87.9000,87.9000,86.5000,87.8000,0,0,0
RAL,20181121,77.8025,77.8025,75.5219,77.1885,940,88.7000,88.7000,86.1000,88.0000,0,0,0
RAL,20181120,78.0656,78.0656,77.8025,77.8025,70,89.0000,89.0000,88.7000,88.7000,0,0,0
RAL,20181119,76.3113,78.8550,76.3113,77.8025,3870,87.0000,89.9000,87.0000,88.7000,0,30,100
RAL,20181116,78.4165,78.8551,78.4165,78.8550,130,89.4000,89.9000,89.4000,89.9000,0,0,0
RAL,20181115,75.4342,77.1007,75.3464,77.1008,3920,86.0000,87.9000,85.9000,87.9000,0,0,0
RAL,20181114,75.4342,77.8025,74.5571,76.3113,12450,86.0000,88.7000,85.0000,87.0000,0,1530,300
RAL,20181113,76.1359,76.1359,75.5219,76.0482,2530,86.8000,86.8000,86.1000,86.7000,0,0,110
RAL,20181112,76.3991,78.5919,75.6973,76.1359,290,87.1000,89.6000,86.3000,86.8000,0,70,0
RAL,20181109,78.6796,78.7673,76.5744,76.6622,1750,89.7000,89.8000,87.3000,87.4000,0,0,0
RAL,20181108,79.2937,79.2937,78.8551,78.8550,40,90.4000,90.4000,89.9000,89.9000,0,0,0
RAL,20181107,76.7499,81.3987,76.7499,78.9428,1050,87.5000,92.8000,87.5000,90.0000,0,510,70
RAL,20181106,79.3814,79.3814,76.3991,78.8550,850,90.5000,90.5000,87.1000,89.9000,0,0,0
RAL,20181105,76.3991,78.9428,76.3114,78.9428,3540,87.1000,90.0000,87.0000,90.0000,0,1600,0
RAL,20181102,78.5919,79.8199,78.0656,78.9428,3230,89.6000,91.0000,89.0000,90.0000,0,0,0
RAL,20181101,76.3114,78.9428,73.5045,78.0656,2670,87.0000,90.0000,83.8000,89.0000,0,0,0
RAL,20181031,78.0657,79.8199,77.1885,78.9428,8450,89.0000,91.0000,88.0000,90.0000,0,110,0
RAL,20181030,78.9427,79.3813,77.1884,78.9428,7380,90.0000,90.5000,88.0000,90.0000,0,0,0
RAL,20181029,79.8199,79.8199,77.1885,79.3813,3430,91.0000,91.0000,88.0000,90.5000,0,0,0
RAL,20181026,80.2585,82.0128,77.2762,79.8199,820,91.5000,93.5000,88.1000,91.0000,0,30,30
RAL,20181025,76.0482,80.6093,76.0482,79.8199,1400,86.7000,91.9000,86.7000,91.0000,0,60,0
RAL,20181024,77.4516,81.2233,77.1885,80.6970,4650,88.3000,92.6000,88.0000,92.0000,0,0,0
RAL,20181023,80.7847,82.4513,78.1533,82.4513,1710,92.1000,94.0000,89.1000,94.0000,0,0,0
RAL,20181022,83.3285,83.3285,82.4514,83.2407,1660,95.0000,95.0000,94.0000,94.9000,0,0,0
RAL,20181019,81.5742,83.3285,81.3111,83.3285,210,93.0000,95.0000,92.7000,95.0000,0,0,190
RAL,20181018,84.2056,84.2056,81.5742,83.3285,2770,96.0000,96.0000,93.0000,95.0000,0,290,450
RAL,20181017,86.6616,86.6616,81.5742,84.2056,4970,98.8000,98.8000,93.0000,96.0000,0,500,0
RAL,20181016,85.8722,85.8722,84.2933,85.8722,1180,97.9000,97.9000,96.1000,97.9000,0,1130,550
RAL,20181015,84.2056,85.7844,81.2233,84.2933,570,96.0000,97.8000,92.6000,96.1000,0,170,0
RAL,20181012,84.2933,87.6264,84.2056,84.2933,2270,96.1000,99.9000,96.0000,96.1000,0,30,40
RAL,20181011,83.5039,87.1002,83.4162,84.2933,4940,95.2000,99.3000,95.1000,96.1000,0,0,0
RAL,20181010,87.9773,87.9773,86.9247,87.7142,3380,100.3000,100.3000,99.1000,100.0000,0,0,0
RAL,20181009,87.7142,88.5913,87.7142,88.5913,1550,100.0000,101.0000,100.0000,101.0000,0,0,30
RAL,20181008,87.6265,87.7142,86.0476,87.7142,3110,99.9000,100.0000,98.1000,100.0000,0,30,30
RAL,20181005,87.7142,87.7142,86.8370,87.7142,1730,100.0000,100.0000,99.0000,100.0000,0,0,140
RAL,20181004,87.7142,89.4685,86.8371,88.5913,2580,100.0000,102.0000,99.0000,101.0000,0,60,80
RAL,20181003,87.8019,89.4685,87.8019,89.4685,2590,100.1000,102.0000,100.1000,102.0000,0,0,0
RAL,20181002,88.5913,90.1702,86.0476,89.4685,1300,101.0000,102.8000,98.1000,102.0000,0,2400,0
RAL,20181001,88.5914,90.1702,88.5914,90.1702,2770,101.0000,102.8000,101.0000,102.8000,0,2400,0
RAL,20180928,90.3456,91.2227,88.9422,89.4685,4710,103.0000,104.0000,101.4000,102.0000,0,2110,0
RAL,20180927,89.4685,91.6613,89.4685,91.6613,7000,102.0000,104.5000,102.0000,104.5000,0,0,30
RAL,20180926,90.3456,91.5736,87.7141,91.5736,7590,103.0000,104.4000,100.0000,104.4000,0,660,30
RAL,20180925,88.5036,92.5384,88.5036,90.6087,5270,100.9000,105.5000,100.9000,103.3000,0,30,0
RAL,20180924,88.3282,88.5913,86.6616,86.7493,4410,100.7000,101.0000,98.8000,98.9000,0,30,0
RAL,20180921,91.1350,91.1350,87.8896,90.8719,2550,103.9000,103.9000,100.2000,103.6000,0,0,0
RAL,20180920,85.0827,91.6613,85.0827,91.0473,10230,97.0000,104.5000,97.0000,103.8000,0,0,30
RAL,20180919,80.1708,85.6968,80.1708,85.6967,23100,91.4000,97.7000,91.4000,97.7000,0,0,60
RAL,20180918,78.9428,80.1708,78.5042,80.1708,4370,90.0000,91.4000,89.5000,91.4000,0,80,0
RAL,20180917,80.6970,80.6970,77.8024,78.9428,3030,92.0000,92.0000,88.7000,90.0000,0,30,0
RAL,20180914,78.0656,80.6970,78.0656,80.6970,2610,89.0000,92.0000,89.0000,92.0000,0,0,40
RAL,20180913,77.9779,78.0656,77.9779,78.0656,290,88.9000,89.0000,88.9000,89.0000,0,0,0
RAL,20180912,79.6445,79.6445,76.3114,77.9779,6180,90.8000,90.8000,87.0000,88.9000,0,0,0
RAL,20180911,77.8025,77.8902,77.1885,77.8025,1410,88.7000,88.8000,88.0000,88.7000,0,0,0
RAL,20180910,77.1885,77.9779,72.7150,77.8902,3620,88.0000,88.9000,82.9000,88.8000,0,0,0
RAL,20180907,73.2414,78.5042,73.2414,77.9779,1670,83.5000,89.5000,83.5000,88.9000,0,0,0
RAL,20180906,77.8902,77.8902,76.7499,77.1885,820,88.8000,88.8000,87.5000,88.0000,0,0,0
RAL,20180905,78.9416,78.9416,77.8890,77.8902,3930,90.0000,90.0000,88.8000,88.8000,0,0,430
RAL,20180904,77.8013,78.4838,76.9482,77.8013,4430,91.2000,92.0000,90.2000,91.2000,0,600,0
RAL,20180831,78.2279,78.2279,76.7777,77.6307,1780,91.7000,91.7000,90.0000,91.0000,0,0,0
RAL,20180830,78.2278,78.2278,75.9245,78.0573,6690,91.7000,91.7000,89.0000,91.5000,0,20,0
RAL,20180829,76.7777,78.4838,76.7777,76.7776,2950,90.0000,92.0000,90.0000,90.0000,0,30,500
RAL,20180828,77.6307,78.4837,76.7776,78.0573,1800,91.0000,92.0000,90.0000,91.5000,0,30,0
RAL,20180827,78.1426,79.2516,77.7160,78.9956,1510,91.6000,92.9000,91.1000,92.6000,0,0,0
RAL,20180824,75.4980,78.2279,75.0715,77.6307,5510,88.5000,91.7000,88.0000,91.0000,0,0,830
RAL,20180823,76.6923,76.7776,75.4980,75.4980,1190,89.9000,90.0000,88.5000,88.5000,0,0,0
RAL,20180822,76.3511,76.8630,74.3890,76.6923,8180,89.5000,90.1000,87.2000,89.9000,0,0,550
RAL,20180821,76.6923,76.8630,74.2184,76.3511,6440,89.9000,90.1000,87.0000,89.5000,0,0,1940
RAL,20180820,76.4364,76.7776,74.7302,76.3511,3290,89.6000,90.0000,87.6000,89.5000,0,0,0
RAL,20180817,75.8392,76.4364,75.7539,76.4364,1370,88.9000,89.6000,88.8000,89.6000,0,20,2680
RAL,20180816,75.0715,76.8630,74.2184,75.8392,5200,88.0000,90.1000,87.0000,88.9000,0,20,2680
RAL,20180815,75.2421,77.2042,74.3037,77.2042,2430,88.2000,90.5000,87.1000,90.5000,0,20,0
RAL,20180814,75.6686,77.6307,74.2183,77.6307,2630,88.7000,91.0000,87.0000,91.0000,0,60,1520
RAL,20180813,78.1426,78.1426,72.5975,73.7918,5960,91.6000,91.6000,85.1000,86.5000,0,20,1840
RAL,20180810,78.0572,78.0572,77.6307,77.6307,170,91.5000,91.5000,91.0000,91.0000,0,0,0
RAL,20180809,76.3510,78.1425,75.4980,77.6307,3430,89.5000,91.6000,88.5000,91.0000,0,1000,0
RAL,20180808,76.3511,78.4838,76.3511,76.8629,740,89.5000,92.0000,89.5000,90.1000,0,0,0
RAL,20180807,76.7776,79.3369,76.6923,79.3369,2170,90.0000,93.0000,89.9000,93.0000,0,0,20
RAL,20180806,75.9245,76.7776,75.5833,76.7776,110,89.0000,90.0000,88.6000,90.0000,0,0,0
RAL,20180803,75.9246,79.1663,75.5833,75.5833,12770,89.0000,92.8000,88.6000,88.6000,0,120,60
RAL,20180802,79.0809,79.0809,75.0714,78.2279,6590,92.7000,92.7000,88.0000,91.7000,0,20,20
RAL,20180801,75.0714,77.6307,74.2184,77.6307,7270,88.0000,91.0000,87.0000,91.0000,0,20,0
RAL,20180731,75.6686,77.6307,74.6449,74.6449,2970,88.7000,91.0000,87.5000,87.5000,0,0,1750
RAL,20180730,72.8534,75.7539,72.8534,75.6686,6750,85.4000,88.8000,85.4000,88.7000,0,0,1750
RAL,20180727,72.5975,72.8534,72.0856,72.8534,41680,85.1000,85.4000,84.5000,85.4000,0,20,38460
RAL,20180726,72.6828,72.8534,71.6591,72.8534,60870,85.2000,85.4000,84.0000,85.4000,0,480,53230
RAL,20180725,72.9388,73.1094,72.5122,72.6828,4480,85.5000,85.7000,85.0000,85.2000,0,0,2020
RAL,20180724,75.0715,75.0715,72.5122,73.1094,26000,88.0000,88.0000,85.0000,85.7000,0,20,19600
RAL,20180723,77.2894,77.2894,70.8060,75.0715,17710,90.6000,90.6000,83.0000,88.0000,0,20,9820
RAL,20180720,77.2042,77.2042,75.9246,75.9245,4360,90.5000,90.5000,89.0000,89.0000,0,40,1720
RAL,20180719,77.6307,77.6307,76.7776,77.2042,2880,91.0000,91.0000,90.0000,90.5000,0,0,2810
RAL,20180718,77.6307,77.9720,77.0336,77.8013,5090,91.0000,91.4000,90.3000,91.2000,0,0,3460
RAL,20180717,77.6307,77.6307,77.0335,77.2042,1160,91.0000,91.0000,90.3000,90.5000,0,0,0
RAL,20180716,77.6307,77.6307,76.0098,77.6307,1720,91.0000,91.0000,89.1000,91.0000,0,20,0
RAL,20180713,76.3511,77.8866,76.3511,77.8866,2580,89.5000,91.3000,89.5000,91.3000,0,0,70
RAL,20180712,76.7776,77.7160,76.0951,77.6307,1770,90.0000,91.1000,89.2000,91.0000,0,0,0
RAL,20180711,76.8629,76.8629,76.7776,76.7776,2050,90.1000,90.1000,90.0000,90.0000,0,0,0
RAL,20180710,78.9104,78.9104,76.7777,77.8866,19420,92.5000,92.5000,90.0000,91.3000,0,40,11400
RAL,20180709,81.1284,81.8962,76.8630,80.1900,7450,95.1000,96.0000,90.1000,94.0000,0,80,5880
RAL,20180706,79.7635,83.7730,79.7635,80.3606,1590,93.5000,98.2000,93.5000,94.2000,0,100,0
RAL,20180705,83.6023,84.8820,81.0431,84.1995,5390,98.0000,99.5000,95.0000,98.7000,0,20,40
RAL,20180704,85.2232,85.7351,84.0289,85.2232,3100,99.9000,100.5000,98.5000,99.9000,0,0,0
RAL,20180703,84.8819,86.5881,80.7871,85.2232,3480,99.5000,101.5000,94.7000,99.9000,0,0,50
RAL,20180702,87.0147,87.0147,83.6023,86.8440,1860,102.0000,102.0000,98.0000,101.8000,0,340,0
RAL,20180629,87.7824,87.7824,87.2705,87.2706,430,102.9000,102.9000,102.3000,102.3000,0,0,0
RAL,20180628,85.0525,87.7824,84.0288,87.0146,1260,99.7000,102.9000,98.5000,102.0000,0,0,0
RAL,20180627,86.1616,87.7824,84.4554,87.7824,750,101.0000,102.9000,99.0000,102.9000,0,40,500
RAL,20180626,86.9293,87.8677,86.1616,86.5881,520,101.9000,103.0000,101.0000,101.5000,0,0,0
RAL,20180625,87.0146,88.1236,83.6023,86.5881,2210,102.0000,103.3000,98.0000,101.5000,0,360,0
RAL,20180622,85.3085,87.2706,84.4554,87.0146,5400,100.0000,102.3000,99.0000,102.0000,0,340,2500
RAL,20180621,86.2469,87.2706,85.3085,87.2706,2460,101.1000,102.3000,100.0000,102.3000,0,0,0
RAL,20180620,84.0289,90.1711,84.0289,86.3322,2590,98.5000,105.7000,98.5000,101.2000,0,0,0
RAL,20180619,89.1474,89.1474,84.6260,88.2943,1630,104.5000,104.5000,99.2000,103.5000,0,0,0
RAL,20180618,88.8062,89.5739,83.6023,89.3180,1120,104.1000,105.0000,98.0000,104.7000,0,0,0
RAL,20180615,87.0146,89.2327,86.5881,89.2327,290,102.0000,104.6000,101.5000,104.6000,0,0,0
RAL,20180614,89.5739,89.5739,87.6971,89.5739,3750,105.0000,105.0000,102.8000,105.0000,0,0,0
RAL,20180613,89.1474,89.4886,89.1474,89.3180,470,104.5000,104.9000,104.5000,104.7000,0,0,0
RAL,20180612,87.7824,89.5739,87.4412,89.5739,5400,102.9000,105.0000,102.5000,105.0000,0,0,0
RAL,20180611,87.9530,90.3417,87.8677,89.5739,1190,103.1000,105.9000,103.0000,105.0000,0,30,290
RAL,20180608,87.4412,90.3417,87.4412,89.5739,2200,102.5000,105.9000,102.5000,105.0000,0,100,50
RAL,20180607,88.7208,90.4270,88.7208,90.3417,1440,104.0000,106.0000,104.0000,105.9000,0,0,0
RAL,20180606,91.7066,91.7919,88.4649,88.4649,4540,107.5000,107.6000,103.7000,103.7000,0,760,10
RAL,20180605,91.7919,91.7919,86.1615,90.8535,8010,107.6000,107.6000,101.0000,106.5000,0,710,410
RAL,20180604,94.5218,94.5218,90.9388,91.7919,5600,110.8000,110.8000,106.6000,107.6000,0,1800,3430
RAL,20180601,94.6071,94.6071,92.1332,94.6071,770,110.9000,110.9000,108.0000,110.9000,0,250,110
RAL,20180531,91.7066,95.3749,86.7587,94.6071,5870,107.5000,111.8000,101.7000,110.9000,0,30,880
RAL,20180530,90.4270,91.7066,85.3938,91.7066,4640,106.0000,107.5000,100.1000,107.5000,0,0,660
RAL,20180529,96.9957,98.1047,90.0004,91.7066,4040,113.7000,115.0000,105.5000,107.5000,0,1470,600
RAL,20180528,92.6450,92.6450,91.2800,91.7066,18950,108.6000,108.6000,107.0000,107.5000,0,0,2740
RAL,20180525,98.1047,101.4317,93.8393,98.1047,12930,115.0000,118.9000,110.0000,115.0000,0,0,4590
RAL,20180524,98.5312,98.5312,95.5454,98.1047,1440,115.5000,115.5000,112.0000,115.0000,0,0,290
RAL,20180523,102.2848,103.8204,94.7777,98.1047,4620,119.9000,121.7000,111.1000,115.0000,0,0,690
RAL,20180522,97.1663,98.0194,96.3985,97.0810,13540,113.9000,114.9000,113.0000,113.8000,0,0,2030
RAL,20180521,97.0810,97.1663,96.3985,97.1663,3620,113.8000,113.9000,113.0000,113.9000,0,0,540
RAL,20180518,98.8725,98.9578,95.5455,97.1663,6350,115.9000,116.0000,112.0000,113.9000,0,0,1000
RAL,20180517,101.0906,101.0906,94.4365,98.9578,8730,118.5000,118.5000,110.7000,116.0000,0,0,2110
RAL,20180516,99.8109,101.5171,99.7256,101.5171,2410,117.0000,119.0000,116.9000,119.0000,0,0,710
RAL,20180515,99.8109,105.1853,99.8109,99.8109,2150,117.0000,123.3000,117.0000,117.0000,0,0,320
RAL,20180514,101.5171,101.5171,98.9579,99.8109,4920,119.0000,119.0000,116.0000,117.0000,0,50,0
RAL,20180511,98.5313,102.2849,98.1901,99.3844,3870,115.5000,119.9000,115.1000,116.5000,0,0,0
RAL,20180510,103.9911,103.9911,102.3702,102.3702,1220,121.9000,121.9000,120.0000,120.0000,0,0,0
RAL,20180509,102.5408,104.0764,101.5171,102.3702,4880,120.2000,122.0000,119.0000,120.0000,0,0,1680
RAL,20180508,103.3085,104.0763,102.5407,102.5408,1530,121.1000,122.0000,120.2000,120.2000,0,100,300
RAL,20180507,106.6356,106.6356,104.0764,104.0763,2820,125.0000,125.0000,122.0000,122.0000,0,120,0
RAL,20180504,105.7825,107.4887,103.7351,107.4887,17940,124.0000,126.0000,121.6000,126.0000,0,1000,2660
RAL,20180503,107.4887,107.4887,107.4034,107.4887,3120,126.0000,126.0000,125.9000,126.0000,0,0,0
RAL,20180502,104.1617,108.2565,103.7351,107.4887,4240,122.1000,126.9000,121.6000,126.0000,0,0,400
RAL,20180427,106.7209,109.1949,106.6356,108.3418,6570,125.1000,128.0000,125.0000,127.0000,0,0,510
RAL,20180426,106.6356,108.3417,106.5503,108.3418,3980,125.0000,127.0000,124.9000,127.0000,0,0,0
RAL,20180424,110.8157,110.8157,109.9626,109.9626,3190,129.9000,129.9000,128.9000,128.9000,0,0,0
