<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
RAL,20090309,6.7436,6.7436,6.4984,6.6619,17090,16.5000,16.5000,15.9000,16.3000,0,0,0
RAL,20090306,6.9889,6.9889,6.7437,6.7845,19470,17.1000,17.1000,16.5000,16.6000,0,0,110
RAL,20090305,6.8254,6.9889,6.7436,6.9889,28030,16.7000,17.1000,16.5000,17.1000,0,0,0
RAL,20090304,6.5393,6.6619,6.4984,6.6619,22670,16.0000,16.3000,15.9000,16.3000,0,0,0
RAL,20090303,6.2941,6.5393,6.1715,6.3758,51710,15.4000,16.0000,15.1000,15.6000,0,0,0
RAL,20090302,6.0489,6.2941,6.0489,6.2941,28390,14.8000,15.4000,14.8000,15.4000,0,110,0
RAL,20090227,5.7628,6.0080,5.7628,6.0080,11950,14.1000,14.7000,14.1000,14.7000,0,0,0
RAL,20090226,5.7219,5.8854,5.6402,5.7219,20730,14.0000,14.4000,13.8000,14.0000,0,300,0
RAL,20090225,5.6810,5.7627,5.6810,5.7628,47360,13.9000,14.1000,13.9000,14.1000,0,0,33390
RAL,20090224,5.7628,5.7628,5.3949,5.5175,44700,14.1000,14.1000,13.2000,13.5000,0,0,38100
RAL,20090223,5.7628,5.8445,5.5993,5.5993,16540,14.1000,14.3000,13.7000,13.7000,0,0,0
RAL,20090220,5.4358,5.5993,5.4358,5.5993,5820,13.3000,13.7000,13.3000,13.7000,0,0,0
RAL,20090219,5.5584,5.5993,5.4767,5.4767,20030,13.6000,13.7000,13.4000,13.4000,0,0,5500
RAL,20090218,5.6401,5.7219,5.5584,5.5584,22210,13.8000,14.0000,13.6000,13.6000,0,0,5940
RAL,20090217,6.0897,6.0897,5.8445,5.8445,22730,14.9000,14.9000,14.3000,14.3000,0,0,0
RAL,20090216,6.1306,6.2124,6.0898,6.0897,8270,15.0000,15.2000,14.9000,14.9000,0,0,0
RAL,20090213,6.1714,6.2532,6.1714,6.1715,11660,15.1000,15.3000,15.1000,15.1000,0,0,0
RAL,20090212,6.2941,6.2941,6.1306,6.2123,8140,15.4000,15.4000,15.0000,15.2000,0,0,0
RAL,20090211,6.1715,6.2941,6.1306,6.2941,15510,15.1000,15.4000,15.0000,15.4000,0,0,0
RAL,20090210,6.7028,6.7028,6.4167,6.4167,20470,16.4000,16.4000,15.7000,15.7000,0,0,0
RAL,20090209,6.6210,6.7436,6.6210,6.7028,17550,16.2000,16.5000,16.2000,16.4000,0,0,1700
RAL,20090206,6.4576,6.7028,6.4576,6.6619,21970,15.8000,16.4000,15.8000,16.3000,0,0,0
RAL,20090205,6.9072,6.9481,6.7028,6.7028,26450,16.9000,17.0000,16.4000,16.4000,0,0,0
RAL,20090204,7.3976,7.4385,7.0298,7.0298,18960,18.1000,18.2000,17.2000,17.2000,0,0,1300
RAL,20090203,7.4793,7.4793,7.3976,7.3976,33390,18.3000,18.3000,18.1000,18.1000,0,5000,0
RAL,20090202,7.7655,7.8472,7.7655,7.7654,22630,19.0000,19.2000,19.0000,19.0000,0,0,500
RAL,20090123,8.0106,8.1332,8.0106,8.1333,6250,19.6000,19.9000,19.6000,19.9000,0,0,0
RAL,20090122,8.0515,8.0924,8.0106,8.0515,10620,19.7000,19.8000,19.6000,19.7000,0,0,0
RAL,20090121,8.0515,8.0924,7.9698,8.0515,19400,19.7000,19.8000,19.5000,19.7000,0,10000,0
RAL,20090120,7.9289,8.0515,7.9289,8.0515,17610,19.4000,19.7000,19.4000,19.7000,0,5000,1000
RAL,20090119,7.9697,8.0924,7.9697,8.0515,7500,19.5000,19.8000,19.5000,19.7000,0,1750,1000
RAL,20090116,8.0515,8.1741,8.0515,8.1741,7170,19.7000,20.0000,19.7000,20.0000,0,160,0
RAL,20090115,7.9698,8.0515,7.9698,8.0515,2590,19.5000,19.7000,19.5000,19.7000,0,570,0
RAL,20090114,7.8880,8.0923,7.8880,7.9698,22210,19.3000,19.8000,19.3000,19.5000,0,0,0
RAL,20090113,7.9698,8.0106,7.9289,8.0106,10830,19.5000,19.6000,19.4000,19.6000,0,2000,0
RAL,20090112,8.1333,8.1333,7.9289,7.9289,12600,19.9000,19.9000,19.4000,19.4000,0,0,0
RAL,20090109,8.1741,8.1741,7.9698,7.9698,20490,20.0000,20.0000,19.5000,19.5000,0,0,0
RAL,20090108,8.1332,8.3376,8.0515,8.0515,23440,19.9000,20.4000,19.7000,19.7000,0,0,0
RAL,20090107,8.3785,8.6237,8.0924,8.3376,56620,20.5000,21.1000,19.8000,20.4000,0,100,0
RAL,20090106,8.2150,8.3785,8.2150,8.3376,45710,20.1000,20.5000,20.1000,20.4000,0,0,0
RAL,20090105,8.0924,8.0924,7.8880,8.0515,32360,19.8000,19.8000,19.3000,19.7000,0,0,10000
RAL,20090102,8.0106,8.0106,7.8471,7.8880,36270,19.6000,19.6000,19.2000,19.3000,0,0,0
RAL,20081231,8.1332,8.1741,8.0106,8.0106,19740,19.9000,20.0000,19.6000,19.6000,0,0,0
RAL,20081230,8.0106,8.0515,8.0106,8.0515,32010,19.6000,19.7000,19.6000,19.7000,0,0,0
